Echantillon;Répétition;Echantillon_Repétition;TMG;Ecart-type TMG;T10;T20;T30;T40;T50;T60;T70;T80;T90
A016;1;A016_1;172;26,357079735318;139,5;147;157,5;163,5;169,5;180;187,5;192;216,75
A016;2;A016_2;173,125;23,9098169760056;151,5;155;158,25;162;165,5;168;178,5;189;214,5
A017;1;A017_1;171,5;38,3745839801837;130,5;141;146,25;150;163,5;168;187,5;216;241,5
A017;2;A017_2;162,96;29,8209657791293;124,5;129;141,75;150;158,25;162;178,5;190,5;202,5
A018;1;A018_1;167,526315789474;22,5002923957609;143,25;148,5;160,5;165;170,25;174;202,5;NaN;226,5
A018;2;A018_2;157,304347826087;35,1586466574385;116,25;129;136,5;140;143,25;156;184,5;210;226,5
A019;1;A019_1;184,227272727273;32,7413119238296;152,25;156;163,5;168;178,5;189;196,5;240;199,5
A019;2;A019_2;171,130434782609;16,2936249324309;154,5;159;162,3;163,8;166,5;175,5;179,25;195;199,5
A020;1;A020_1;176,125;41,611361847248;130,5;137;144,75;150;176,25;189;199,5;216;247,5
A020;2;A020_2;162;18,769275806107;137,5;144;149,25;153;163,5;172,5;179,25;183;247,5
A021;1;A021_1;160,636363636364;21,7858526714788;135,75;139;142,5;152;164,25;175,5;181,5;188;172,5
A021;2;A021_2;146,875;24,4599272991205;119,25;123;136,5;139,5;147,75;151,5;157,5;165;172,5
A022;1;A022_1;161,64;34,4817342951308;118,5;133,5;139,5;144;154,5;160,5;165,75;192;211,5
A022;2;A022_2;165;29,0726227111409;131,25;135;147,75;151;153,75;162;187,5;200;208,5
A023;1;A023_1;163,32;25,0561369728056;136,5;142;144,5;147;154,5;165;172,5;186;196,5
A023;2;A023_2;129,15;21,7092631211462;111,75;115;117,75;121,5;125,25;132;148,5;195;196,5
A024;1;A024_1;166,571428571429;27,4728437344433;139,5;147;156,75;163,5;167,25;174;181,5;216;229,5
A024;2;A024_2;158,217391304348;30,0846631445615;127,5;135;142,5;147;150,75;154,5;169,5;192;229,5
A025;1;A025_1;171,285714285714;26,9650567534037;145,5;150;154,5;160,5;163,5;174;205,5;222;190,5
A025;2;A025_2;137,125;29,4932748413866;107,25;111;113,5;118,5;130,5;141;151,5;159;190,5
A026;1;A026_1;180,125;26,9271359816434;143,25;162;168,642857142857;169,714285714286;170,785714285714;173;181,5;216;224,25
A026;2;A026_2;138;19,8997487421324;119,5;121,5;124,5;132;135,375;137,25;139,5;144;166,5
A027;1;A027_1;179,714285714286;30,4452670494822;139,5;157;160,5;172,5;187,5;195;214,5;219;NaN
A027;2;A027_2;160,772727272727;31,4323639978527;124,5;133,5;137,25;141;160,5;183;194,25;199,5;NaN
A028;1;A028_1;171,285714285714;34,4530736758607;134,25;141;153,5;156;161,25;183;220,5;228;214,5
A028;2;A028_2;145,625;31,0382828133259;115,5;124,5;128,25;130,5;135,5;138;155,25;162;214,5
A029;1;A029_1;183;25,7924407530579;145,5;159;174,375;176,25;183,5;186;188,5;192;205,5
A029;2;A029_2;161,52;20,1930681175496;130,5;147;155,25;159,5;160,75;162;169,5;172,5;175,5
A030;1;A030_1;160,56;23,5921597146171;133,5;138;142,5;153;156,75;160;163,5;174;196,5
A030;2;A030_2;136,2;21,422074202978;115,5;121;124,5;132;136,5;141;166,5;192;196,5
A031;1;A031_1;177,285714285714;30,1631279166184;143,25;147;160,5;165;178,5;183;213,75;225;223,5
A031;2;A031_2;152,88;38,1393497584844;117,75;123;129,75;136,5;139,5;148,5;152,25;165;223,5
A032;1;A032_1;168,25;24,5626970619377;139,5;144;156,75;162,75;164,625;174;177,75;183;205,5
A032;2;A032_2;155,869565217391;33,7414020668783;120,75;126;133,5;144;148,125;150;166,5;201;232,5
A033;1;A033_1;156,36;22,2539884065756;133,5;137;139,125;141;146,25;153;164,5;172;178,5
A033;2;A033_2;125,625;22,9892460681643;100,5;105;114,75;117,75;119,625;126;130,5;141;158,25
A034;1;A034_1;168,409090909091;32,1286981801823;127,5;138;156,5;159;166,5;183;188,25;210;214,5
A034;2;A034_2;160,375;33,300754006348;119,25;130;133,5;144;153,75;168;182,25;198;214,5
A035;1;A035_1;150,782608695652;12,4095143914188;133,5;139,5;143,25;146;150,5;153;157,5;165;175,5
A035;2;A035_2;156,571428571429;41,6516163294672;114,75;126;130,5;138;145,5;174;212,25;225;175,5
A036;1;A036_1;167,217391304348;32,990296812767;132,75;138;149,25;153;161,25;168;177,75;198;256,5
A036;2;A036_2;162,84;21,780495862124;139,5;142,5;145,5;150;155,25;162;173,25;179;190,5
A037;1;A037_1;191,409090909091;25,7287297095588;159,5;162;181,5;190,5;197,25;199,5;219,75;225;NaN
A037;2;A037_2;193,470588235294;24,9927930788527;168,5;171;181,5;192;217,5;228;NaN;NaN;NaN
A037;3;A037_3;193,045454545455;28,2850747664816;157,5;169,5;175,5;183;196,5;201;217,5;241;NaN
A037;4;A037_4;185,166666666667;23,9883550180205;156,75;169,5;172,5;184,5;197,25;216;224,25;NaN;NaN
A038;1;A038_1;152,428571428571;16,0890379717726;132,75;138;143,25;148;151,5;156;171,75;177;160,5
A038;2;A038_2;133,625;21,0647294330347;112,5;117;120,75;126;129,9;131,4;136,5;144;160,5
A039;1;A039_1;153,142857142857;22,6192080194814;131,25;136;139,5;143;148,5;153;178,5;195;190,5
A039;2;A039_2;143;24,075966728525;119,5;123;126,75;132;137,25;143;146,25;156;190,5
A040;1;A040_1;156;17,2046505340853;132,75;138;154,5;159;163,5;168;175,5;NaN;205,5
A040;2;A040_2;137,739130434783;27,1949483800081;112,5;116;120,375;122,25;133,5;139,5;153,75;168;205,5
A041;1;A041_1;148,571428571429;19,9814199409637;128,25;133,5;141,75;145,5;149,25;153;155,5;159;166,5
A041;2;A041_2;137,347826086957;17,1374356192734;115,5;120;129,5;132;133,875;138;148,5;159;166,5
A042;1;A042_1;159,84;28,6642634651581;131,25;139;142,5;147;148,875;156;163,5;171;211,5
A042;2;A042_2;168,125;27,2593222985076;134,5;144;148,125;150;164,25;171;177,75;192;214,5
A043;1;A043_1;192,68;18,9752470339651;172,5;177;180,75;186;188,5;194;200,25;207;220,5
A043;2;A043_2;205,647058823529;26,5352152254099;179,25;189;197,25;204;229,5;241;NaN;NaN;220,5
A043;3;A043_3;184,470588235294;21,5873737606581;159,75;171;182,25;188;196,5;207;NaN;NaN;220,5
A043;4;A043_4;193,590909090909;18,1964389266249;171,75;175,5;181,125;183;199,5;204;212,25;216;220,5
A044;1;A044_1;182,875;25,0135832664192;148,5;159;174,375;176,25;181,5;186;192,75;202,5;226,5
A044;2;A044_2;145,363636363636;40,4269422828101;105,75;109,5;119,25;129;136,5;141;178,5;210;226,5
