"","Echantillon","Répétition","Echantillon_Repétition","TMG","Ecart-type TMG","T10","T20","T30","T40","T50","T60","T70","T80","Banc","Camera","zone","Ecart10_20","Ecart20_30","Ecart30_40","Ecart40_50","Ecart50_60","Ecart60_70","Ecart70_80"
"313","B066",1,"B066_1",147.824347826087,28.5929666619906,127.5,135,138.75,141.75,143.625,154,163.5,180,"2","4","14",6,4.125,2.75,2.3125,7.0625,6.625,20.625
"315","B067",1,"B067_1",161.95256916996,27.8697963483315,150.375,152.25,154.5,159,169.5,173,176.25,204,"2","4","21",4.6875,9,3.875,7,4,11.375,22.875
"317","B068",1,"B068_1",152.491304347826,29.6470338090582,129.5,132,143.25,153,154.875,157.5,178.5,183,"2","4","41",4.5,6.875,8.625,2.8125,3.9375,14.25,4.5
"319","B069",1,"B069_1",157.849802371542,27.2498108950927,138.75,145.5,156.5,159,160.875,171,193.5,216,"2","4","33",5.125,9.375,3.875,5.58750000000001,5.8125,12.6,16.5
"321","B070",1,"B070_1",150.415584415584,19.028940630772,139.5,148.5,150.75,156,160.5,169.5,173.25,177,"2","4","23",6.125,2.875,4.375,5,7.125,2.8125,26.0625
"323","B071",1,"B071_1",146.3975,25.006145861858,127.5,139,141.75,145.5,149.25,153,167.25,171,"2","4","42",7.625,3.625,3.375,5.25,8.25,9.75,6.75
"325","B072",1,"B072_1",161.858181818182,36.604646605193,127.5,134,148.5,162,170.25,201,226.5,234,"2","4","14",7,9.875,13.125,6.375,20.625,15.375,16.875
"327","B073",1,"B073_1",146.0575,30.2957134548621,121.125,123,128.25,132.75,134.625,136.5,142.5,156,"2","4","11",3.5625,5.875,3.5,5.0625,5.8125,6.375,25.875
"329","B074",1,"B074_1",142.26,29.3330860095888,124.5,130,144.5,147,149.5,151.5,163.5,177,"2","4","23",3.6875,9.875,3,2.875,2.875,11.25,15
"331","B075",1,"B075_1",166.62,29.3532007359378,136.5,150,161.25,165.6,167.1,171,176.25,192,"2","4","11",9.75,8.25,4.8,2.625,3.825,7.125,13.125
"333","B076",1,"B076_1",185.383724256293,18.2082918284119,172.5,178.5,182.25,186,188.5,193.5,208.5,228,"4","4","31",6.75,5.3125,4.3125,3.3125,3.4375,9.875,18.375
"337","B077",1,"B077_1",160.62,21.5767253166379,138.5,141,145.5,150,160.5,171,177.75,183,"2","4","32",5,6,4,8,9,4.625,5.875
"339","B078",1,"B078_1",163.193181818182,26.400676726453,124.5,138,148.5,162,169.5,173,190.5,201,"2","4","22",8.8125,7.5,9.75,6.75,4.75,11.75,7.5
"341","B079",1,"B079_1",165.15,26.5087429832984,122.5,134,137.25,144,163.5,168,172.5,180,"2","4","12",9.5,5.75,5.25,11,7.5,4,9
"343","B080",1,"B080_1",165.573369565217,28.8855830231502,127.5,144,148.875,153,159.75,165,180.75,195,"2","4","43",11.625,5.8125,3.6875,12.625,4.375,10.25,12.75
"345","B081",1,"B081_1",160.9825,32.6004427501044,144.75,147.6,149.1,156,169.5,183,195.75,204,"2","4","33",3.3,3.375,8.075,8.5,11.25,8.25,6.75
"347","B082",1,"B082_1",172,27.0812393120104,144.75,150,163.5,168,170.5,190.5,197.25,201,"2","4","22",4.125,10.125,13.875,3.65000000000001,10.75,4.22499999999999,3.125
"349","B083",1,"B083_1",150.875,30.4403265612331,133.5,139.5,144.75,150,162.5,165,183.75,189,"2","4","13",6.75,6,5.25,8.125,3.125,19.875,7.875
"351","B084",1,"B084_1",154.8075,27.6498446030349,130.5,142.5,146.25,156,163.5,172,174.75,178.5,"2","4","31",7.875,5.8125,5.8125,7.5,6.875,10.625,3.125
"353","B085",1,"B085_1",144.59,22.5350269608025,125.25,135,141.75,145.5,151.5,156,168.75,180,"2","4","32",8.625,4.125,2.625,6.375,4.125,8.25,10.5
"355","B086",1,"B086_1",160.68,23.74352745227,126.75,130.5,133.5,141,148.5,159,172.5,181.5,"2","4","22",4.5,3.5625,4.6875,6.375,6.625,9.3125,5.4375
"357","B087",1,"B087_1",165.93652173913,24.9167553865614,137.25,142.5,148.5,159,162.75,169.5,173.25,180,"2","4","43",4.5,11.25,7.5,3.125,13.375,6.375,7.125
"359","B088",1,"B088_1",155.125,29.111129885543,132.75,136.5,141.75,147,157.5,165,172.5,231,"2","4","12",5.25,4.575,3.375,6.675,7.5,4.6875,33.9375
"361","B089",1,"B089_1",159.380434782609,20.152962071071,133.5,137,140.25,149,157.5,163.5,167.25,171,"2","4","33",4.5625,3.5,7.75,8.5,6.25,4.5,6.75
"363","B090",1,"B090_1",153.755681818182,32.3109986079846,133.5,144,146.5,153,163.5,174,190.5,219,"2","4","32",6.1875,6.5,5.5,8.625,6.875,11.5,23.25
"365","B091",1,"B091_1",166.02,21.5771257094645,140.25,153,155.5,158,163.5,171,184.5,189,"2","4","31",8.25,3.875,3.875,6,5,10.5,5.25
"367","B092",1,"B092_1",192.912781954887,19.3400647489157,176.25,187.5,190.125,192,200.25,205.5,214.5,234,"4","4","21",9.75,5.625,3.54166666666667,8.08333333333333,6.25,10.25,12.5833333333333
"370","B093",1,"B093_1",148.233913043478,25.0295861591275,122.25,132,137.25,147,154.5,159,181.5,187.5,"2","4","23",7.125,6.375,7.875,6.375,4.875,13,4.25
"372","B094",1,"B094_1",153.1375,28.7343119193978,124.5,130.5,136.5,147,152.25,157,159.75,165,"2","4","11",4.875,5.625,6.75,3.5625,4.0625,18.625,11.875
"374","B095",1,"B095_1",147.827922077922,19.8514179296113,136.5,151,153.75,160,163.5,171,177.75,186,"2","4","34",10.25,4,5.75,3,5.5,6.75,7.5
"376","B096",1,"B096_1",170.16,23.8954946909636,130.5,153,158.25,161,168.375,170.25,181.5,192,"2","4","14",13.5,3.875,3.125,7.0625,3.5625,9.375,8.25
"378","B097",1,"B097_1",139.405,15.9746876003831,128.25,132,135.75,139,141.75,145.5,149.25,153,"2","4","43",5.25,6,3.875,2.3125,3.0625,4.25,4.5
"380","B098",2,"B098_2",141.72,28.4641880263604,108.75,114,126.75,130,132.75,136.5,145.5,162,"2","4","21",5.25,12.75,3.25,2.75,3.75,9,16.5
"381","B099",1,"B099_1",144.348214285714,17.9167746661388,136.5,141,146.25,149,154.5,160.5,169.125,171,"2","4","44",3.1875,4.5,3.25,8.75,5.25,8.5625,5.6875
"383","B100",1,"B100_1",148.205357142857,24.0355626390193,130.5,134,136.5,141,145.875,148.5,163.5,171,"2","4","33",4,3.5,3.59999999999999,3.1875,5.96250000000001,17.25,13.5
"385","B101",1,"B101_1",159.4075,21.280521465348,124.5,139,142.5,147,148.875,159,178.5,183,"2","4","43",8.1875,5.5,4.875,1.5625,5.6875,11.125,4.125
"387","B102",1,"B102_1",156.380681818182,26.7859331114352,136.5,142,145.5,153,157.5,167,174.5,177,"2","4","31",3.5,5.5375,4.6875,6.375,6.5,11,11
"389","B103",1,"B103_1",162.48,26.2921561692258,125.25,135,141.75,147,156.75,163,166.5,174,"2","4","42",8.25,5.25,5,6.625,6.875,5.125,5.375
"391","B104",1,"B104_1",154.74,22.3796428652005,133.5,141,144.75,147.75,149.625,153,169.5,183,"2","4","31",6,4.5,4.125,3.5625,3.5625,11.625,9.625
"393","B105",1,"B105_1",171.36,31.1859641236161,123.75,133,139.5,156,171.75,177,187.5,204,"2","4","22",6.875,8,9.5,10.625,4.375,12.375,10.125
"395","B106",1,"B106_1",149.086956521739,26.8649726460761,136.5,142.5,147.75,153,162.5,165,190.5,202,"2","4","42",8.25,3.5625,4.6875,6.4375,2.1875,14.25,12.125
"397","T001",1,"T001_1",159.06,19.4045660544306,136.5,144,148.5,153,157.5,160.5,164.25,174,"2","4","31",6.375,4.5,4,5,3.75,3.125,8.125
"399","T002",1,"T002_1",136.996363636364,19.9932884506802,124.5,128,131.25,136.5,140.25,144,148.5,156,"2","4","21",2.375,2.25,4.25,3.9375,2.8125,4.5,9
"401","T003",1,"T003_1",126.96,17.0291530308967,111.75,121,127.5,132,137.25,139.5,145.5,150,"2","4","44",7.625,4.75,5,3.8125,2.0625,5.25,3.875
"403","T004",1,"T004_1",145.450434782609,22.0675032004985,129.75,136.5,145.5,154,156.75,162,174.75,186,"2","4","34",4.875,7.5,7.25,5.3125,3.5625,7.875,7
"405","T005",2,"T005_2",192.571428571429,22.7410893067404,168.5,171,178.5,187.5,199.5,205.5,217.5,228,"4","4","43",2.5,7.5,9,12,6,12,10.5
"406","T007",1,"T007_1",169.48,22.9333867334252,142.5,160.5,164.25,169.5,175.5,181.5,189.5,192,"4","4","11",10.875,3.1875,3.5625,5.25,8.25,8.875,3.125
"408","T008",1,"T008_1",186.606719367589,22.7694325903045,160.125,162,172.5,183,190.5,201,219.75,225,"4","4","11",3.1875,7.125,8.625,6.75,9,14.8125,4.6875
